Time (min),ERK
0,0
0.475,1
0.6767,2
0.8517,3
1.0333,4
1.2333,5
1.465,6
1.7983,7
2.5383,8
4.755,7
5.31,8
6.9767,7
7.7167,8
8.72,7
13.77,6
15.4367,7
16.325,6
21.7683,5
23.7533,4
30,4
