Time (min),ERK,
0,0,
0.32,6,
0.4833,12,
0.615,18,
0.735,24,
0.865,30,
1.02,36,
1.215,42,
1.5317,48,
2.865,54,
3.3767,48,
4.71,54,
5.2217,48,
7.2717,42,
8.2467,36,
9.08,30,
9.9683,24,
10.785,18,
13.6983,12,
15.615,6,
17.8317,0,
30,0,
