Time (min),ERK,
0,0,
0.475,6,
0.6767,12,
0.8517,18,
1.0333,24,
1.2333,30,
1.465,36,
1.7983,42,
2.5383,48,
4.755,42,
5.31,48,
6.9767,42,
7.7167,48,
8.72,42,
13.77,36,
15.4367,42,
16.325,36,
21.7683,30,
23.7533,24,
30,24,
