Time (min),ERK,
0,0,
0.32,1,
0.4833,2,
0.615,3,
0.735,4,
0.865,5,
1.02,6,
1.215,7,
1.5317,8,
2.865,9,
3.3767,8,
4.71,9,
5.2217,8,
7.2717,7,
8.2467,6,
9.08,5,
9.9683,4,
10.785,3,
13.6983,2,
15.615,1,
17.8317,0,
30,0,
